LP,Year,State,Cost Center,DNT,VIN #,Unit #,Color,Make,Model,Start Date,End Date
BAVP30,2020,CO,5812,5667383,3N6CM0KN3LK695000,1203,BLACK,NISSAN,NV200,01/01/2021,-
BAVP31,2020,CO,5812,5667382,3N6CM0KN7LK695002,1202,WHITE,NISSAN,NV200,01/01/2021,-
BAXV28,2020,CO,5812,5667384,3N6CM0KNXLK693521,1204,WHITE,NISSAN,NV200,01/01/2021,-
BBBQ05,2020,CO,5812,5667386,JN8AT2MV3LW131555,1206,BLACK,NISSAN,ROGUE,01/01/2021,-
BIWH87,2020,CO,5917,5667387,3N6CM0KN2LK703992,1207,WHITE,NISSAN,NV200,01/01/2021,-
BJAI50,2020,CO,5917,5667388,3N6CM0KN8LK704788,1208,BLACK,NISSAN,NV200,01/01/2021,-
BJWY17,2021,CO,5917,5792504,5N1AT3BB0MC679425,P21032,BLACK,NISSAN,ROGUE,01/01/2021,-
BLF986,2018,MN,C18001,-,1GCWGAFP2J1239271,C18001,BLACK,CHEVROLET,EXPRESS 2500,01/01/2021,-
BRLV13,2021,CO,5862,5667380,3N6CM0KN6MK692349,P21009,BLACK,NISSAN,NV200,01/01/2021,-
BWZ3665,2019,WA,5869,-,KNMAT2MT2KP548958,2906,WHITE,NISSAN,ROGUE,01/01/2021,-
BZNW94,2018,CO,5812,5694957,3N6CM0KN0JK702319,1078,WHITE,NISSAN,NV200,01/01/2021,-
BZPW48,2020,CO,5812,5792505,3N6CM0KNXLK694877,1021,BLACK,NISSAN,NV200,01/01/2021,-
C117082,2021,DE,5823,G503100917408,1N6ED0EA2MN712396,P21082,WHITE,NISSAN,FRONTIER,01/01/2021,-
C16105S,2019,WA,5869,6822849,3N6CM0KN1KK711953,6901AC,WHITE,NISSAN,NV200,01/01/2021,-
C99869S,2020,WA,5869,6822850,3N6CM0KN2LK690791,6902,BLACK,NISSAN,NV200,01/01/2021,-
CAMH41,2019,CO,5847,03063369,1FTYR2XM9KKA22972,C5000,WHITE,FORD,TRANSIT-250,01/01/2021,-
CB75338,2020,IL,5880,3301170131,JN8AT2MV5LW143917,8001,WHITE,NISSAN,ROGUE,01/01/2021,-
CF47127,2020,IL,5880,3301170133,3N6CM0KN9LK699391,8003,WHITE,NISSAN,NV200,01/01/2021,-
CF47136,2020,IL,5880,3301170132,3N6CM0KN8LK702684,8002,BLACK,NISSAN,NV200,01/01/2021,-
CM36759,2020,AZ,5816,-,3N6CM0KN7LK696523,1602,BLACK,NISSAN,NV200,01/01/2021,-
CP62357,2020,TN,5896,-,3N6CM0KN0LK691714,2504,BLACK,NISSAN,NV200,01/01/2021,-
CP62392,2019,TN,9099,-,3N1AB7AP2KY439697,3304,BLACK,NISSAN,SENTRA,01/01/2021,-
CP62393,2017,TN,5896,-,3N6CM0KNXHK711247,1032,BLACK,NISSAN,NV200,01/01/2021,-
CP62394,2020,TN,5896,-,1N6BF0KM2LN805624,2008,WHITE,NISSAN,NV CARGO NV1500,01/01/2021,-
CP66106,2020,TN,5820,3301170161,1N6BF0KM9LN807984,20204,WHITE,NISSAN,NV CARGO NV1500,01/01/2021,-
CP69959,2021,TN,5865,-,3N6CM0KN5MK693122,P21028,BLACK,NISSAN,NV200,01/01/2021,-
CP73862,2020,TN,5861,-,3N6CM0KN4LK708899,P20037,WHITE,NISSAN,NV200,01/01/2021,-
CP78994,2021,TN,5888,-,3N6CM0KNXMK694881,P21013,WHITE,NISSAN,NV200,01/01/2021,-
CTM5555,2020,AZ,5816,-,3N6CM0KN5LK691580,1601AC,WHITE,NISSAN,NV200,01/01/2021,-
DAT8749,2021,MS,9060,-,5N1AT3BB1MC772521,9060,WHITE,NISSAN,ROGUE,01/01/2021,-
DMK6808,2015,NC,5853,-,1FTNE1YM3FKB31019,1533,WHITE,FORD,TRANSIT-150,01/01/2021,-
DXV754,2019,MN,5860,-,1N6DD0EV8KN790600,6001,WHITE,NISSAN,FRONTIER,01/01/2021,-
ENW011,2020,MN,5860,-,3N6CM0KN2LK698339,6003,WHITE,NISSAN,NV200,01/01/2021,-
FDS825,2020,MN,5875,03063713,3N6CM0KN4LK696351,2002,WHITE,NISSAN,NV200,01/01/2021,-
FDS826,2020,MN,5860,-,3N6CM0KN2LK696381,2003,BLACK,NISSAN,NV200,01/01/2021,-
FHD144,2020,MN,5860,-,3N6CM0KNXLK708678,6002,BLACK,NISSAN,NV200,01/01/2021,-
FXJ818,2021,MN,5860,-,3N6CM0KN9MK694743,P21023,BLACK,NISSAN,NV200,01/01/2021,-
GHW143,2020,MN,5860,-,3N6CM0KN5LK707583,P20039,WHITE,NISSAN,NV200,01/01/2021,-
HBP5098,2019,NC,5852,3301170141,3N6CM0KN6KK708370,1901,BLACK,NISSAN,NV200,01/01/2021,-
HDJ6095,2020,NC,5819,3301170144,3N6CM0KNXLK691154,1904,BLACK,NISSAN,NV200,01/01/2021,-
